,spatial_cluster,x_median,y_median
652,652,23130.9765625,7151.8408203125
653,653,21075.544921875,2569.1435546875
654,654,14339.2919921875,5453.50244140625
655,655,22474.47265625,7498.5908203125
656,656,23190.9140625,5521.14404296875
657,657,23624.107421875,4417.89697265625
658,658,26087.72265625,6792.04541015625
659,659,21476.5859375,9339.8857421875
660,660,23086.9609375,7399.82177734375
661,661,18059.515625,6217.51025390625
662,662,17387.44921875,7218.634765625
663,663,15184.826171875,1198.091796875
664,664,17458.6015625,717.0631713867188
665,665,23445.794921875,10488.6357421875
666,666,21727.556640625,9323.302734375
667,667,16309.1142578125,1362.2196044921875
668,668,18953.60546875,2444.59814453125
669,669,21487.568359375,4050.959716796875
670,670,20131.45703125,5585.58203125
671,671,23441.728515625,8638.037109375
672,672,15097.1025390625,1987.55419921875
673,673,18719.419921875,6186.10888671875
674,674,21808.90625,7147.7373046875
675,675,21450.1875,9600.447265625
676,676,23019.63671875,10133.8759765625
677,677,23318.0078125,9575.927734375
678,678,16813.2734375,5728.513671875
679,679,13993.5478515625,8885.1123046875
680,680,17506.52734375,5588.7802734375
681,681,14431.7705078125,3362.81494140625
682,682,25789.51171875,9292.7548828125
683,683,16363.0107421875,1838.9990234375
684,684,18190.68359375,2072.9150390625
685,685,21687.990234375,5012.9169921875
686,686,22432.1953125,2173.30615234375
687,687,18730.9296875,8101.294921875
688,688,17032.244140625,8048.27392578125
689,689,21517.466796875,5174.42431640625
690,690,21656.232421875,5229.95703125
691,691,13701.66015625,2858.54638671875
692,692,23890.224609375,7850.16162109375
693,693,20866.681640625,3382.4287109375
694,694,18088.91015625,399.875244140625
695,695,15455.7802734375,6988.125
696,696,20169.38671875,6569.3447265625
697,697,19438.404296875,9407.87890625
698,698,25960.12109375,7498.9580078125
699,699,18286.3359375,3355.81103515625
700,700,20774.15625,9413.6650390625
701,701,19304.96875,4322.91064453125
702,702,23326.68359375,6607.017578125
703,703,16959.884765625,5237.2958984375
704,704,16002.1748046875,1553.0760498046875
705,705,26972.908203125,9669.501953125
706,706,21235.068359375,6797.85009765625
707,707,18442.5703125,6249.580078125
708,708,19083.177734375,3366.925537109375
709,709,17681.51171875,1372.130126953125
710,710,20110.75390625,5147.07421875
